"Company Name",ISIN,"Target Qualification",SME?,"Business ambitions 1.5",Country,Region,Sector,Status,Date,"Date Explanation",Target,"Target Classification"
"ACCIONA S.A.",ES0125220311,1.5°C,,1,Spain,Europe,"Construction and Engineering","Targets Set","2019-12-01 00:00:00",,"Renewable energy and sustainable infrastructure company ACCIONA commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2017 base year. ACCIONA also commits to reduce absolute scope 3 GHG emissions 47% by 2030 from a 2017 base year, covering emissions from purchased goods and services, capital goods, energy-related activities, upstream transportation and distribution, employee commuting and use of sold products.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Accor S.A.",FR0000120404,1.5°C,,1,France,Europe,"Hotels, Restaurants and Leisure, and Tourism Services","Targets Set","2021-03-01 00:00:00",,"Accor commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Accor also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy-related activities and franchises 28% over the same timeframe.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Aceros AZA S.A.",,,,1,Chile,"Latin America","Mining - Iron, Aluminum, Other Metals",Committed,"2020-08-01 00:00:00",,,
"Actiam NV",,,,,Netherlands,Europe,"Banks, Diverse Financials, Insurance",Committed,"2017-04-01 00:00:00",,,
"Adani Green Energy Ltd.",INE364U01010,,,,India,Asia,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",Committed,"2020-05-01 00:00:00",,,
"Adani Ports and Special Economic Zone Limited",,,,1,India,Asia,"Water Transportation - Water Transportation",Committed,"2020-06-01 00:00:00",,,
"Adidas AG",DE000A1EWWW0,1.5°C,,,Germany,Europe,"Textiles, Apparel, Footwear and Luxury Goods","Targets Set","2021-04-01 00:00:00",,"Adidas AG commits to reduce absolute scope 1, 2 and 3 emissions by 30% by 2030 from a 2017 base year. Within that target, adidas AG commits to reduce absolute scope 1 and 2 GHG emissions by 90% by 2025 from a 2017 base year.* *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Adobe, Inc.",US00724F1012,1.5°C,,1,"United States of America (USA)","North America","Software and Services","Targets Set","2021-02-04 00:00:00",,"Adobe Inc. commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2025 from a 2018 base year. Adobe commits to reduce absolute scope 3 GHG emissions from business travel 30% over the same timeframe. Adobe also commits that 55% of its suppliers by spend covering purchased goods and services and capital goods, will have science-based targets by 2025.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Adva Optical Networking SE",DE0005103006,1.5°C,,,Germany,Europe,"Technology Hardware and Equipment","Targets Set","2021-02-04 00:00:00",,"ADVA commits to reduce absolute scope 1 and scope 2 GHG emissions 67% by 2032 from a 2016 base year. ADVA also commits to reduce scope 3 GHG emissions 30% per product and 3% in absolute emissions terms by 2032 from a 2016 base year","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Advanced Micro Devices, Inc",US0079031078,"Well-below 2°C",,,"United States of America (USA)","North America","Semiconductors and Semiconductors Equipment","Targets Set","2016-06-01 00:00:00",,"Multinational semiconductor company AMD commits to reduce  scope 1 and 2 emissions 20% by 2020 from a 2014 base-year.  AMD also commits to improve the compute performance per watt of energy consumed by their mobile APU processors by 2500% by 2020 from a 2014 base-year. AMD also has a goal for suppliers' wafer foundry scope 1 emissions to stay 30% below the Semiconductor Industry Association average, and for wafer foundry electricity use to stay 40% below the industry average, using a normalized manufacturing index","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Advantest Corporation",,,,,Japan,Asia,"Electrical Equipment and Machinery",Committed,"2020-08-01 00:00:00",,,
AECOM,US00766T1007,"Well-below 2°C",,,"United States of America (USA)","North America","Construction and Engineering","Targets Set","2020-03-01 00:00:00",,"AECOM commits to reduce absolute scope 1 and 2 GHG emissions 20% by 2025 from a 2018 base year. AECOM commits to reduce absolute scope 3 GHG emissions from purchased goods & services and capital goods 10% by 2025 from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Aeon Co., Ltd.",JP3388200002,1.5°C,,,Japan,Asia,"Food and Staples Retailing","Targets Set","2021-08-01 00:00:00",,"AEON commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. AEON also commits that 80% of its suppliers by emissions covering purchased goods and services will set science-based targets by 2021.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"AES Brasil",,,,1,Brazil,"Latin America","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",Committed,"2020-05-01 00:00:00",,,
"Agder Energi",NO0010895378,1.5°C,,,Norway,Europe,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","Targets Set","2021-03-01 00:00:00",,"Agder Energi commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Agder Energi commits that 82% of its suppliers by emissions covering purchased goods and services, will have science-based targets by 2025","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
Agility,,,,,Kuwait,Asia,"Air Freight Transportation and Logistics",Committed,"2019-05-01 00:00:00",,,
"Aguas Andinas S.A.",,1.5°C,,1,Chile,"Latin America","Water Utilities","Targets Set","2020-01-01 00:00:00",,"Chilean water utility company Aguas Andinas S.A. commits to reduce absolute scope 1 and 2 GHG emissions 54% by 2030 from a 2017-2018 base year period. Aguas Andinas S.A. also commits to reduce absolute scope 3 GHG emissions 16% over the same time frame covering emissions from purchased good and services, upstream and downstream transportation and distribution and waste generated in operations.*The target boundary includes biogenic emissions and removals from bioenergy feedstocks. ","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Air Liquide Group S.A.",FR0000120073,,,,France,Europe,Chemicals,Committed,"2019-07-01 00:00:00",,,
"Ajinomoto Co., Inc.",JP3119600009,1.5°C,,1,Japan,Asia,"Food and Beverage Processing","Targets Set","2020-05-01 00:00:00",,"Ajinomoto Co., Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Ajinomoto Co., Inc. also commits to reduce scope 3 GHG emissions 24% per ton of production over the same target period.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Alaya Consulting Ltd.",,2°C,,1,"Hong Kong",Asia,"Professional Services","Targets Set","2019-05-01 00:00:00",,"Environmental Management & Consultancy Service Alaya Consulting commits to reduce scope 1 and 2 GHG emissions 47% per m2 by 2023 from a 2017 base year. Alaya Consulting also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, waste generated in operations, business travel and employee commuting 7% by 2023 from a 2017 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Albaraka Türk Participation Bank",TREALBK00011,,,,Turkey,Asia,"Banks, Diverse Financials, Insurance",Committed,"2020-08-01 00:00:00",,,
"ALDI Einkauf GmbH & Co. oHG (Aldi Nord)",,,,,Germany,Europe,Retailing,Committed,"2020-07-01 00:00:00",,,
"ALDI SOUTH Group",,"Well-below 2°C",,,Austria,Europe,Retailing,"Targets Set","2020-07-01 00:00:00",,"ALDI SOUTH Group commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2025 from a 2016 base year. ALDI SOUTH group also commits that 75% of its suppliers by emissions covering purchased goods will have science-based targets by 2024. * The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"ALDO Group Inc.",,"Well-below 2°C",,,Canada,"North America","Textiles, Apparel, Footwear and Luxury Goods","Targets Set","2019-09-01 00:00:00",,"Canadian shoe and accessories chain retailer The ALDO Group commits to reduce absolute scope 1 and 2 GHG emissions 40% by 2030 from a 2016 base year. The ALDO Group also commits to reduce scope 3 GHG emissions from footwear manufacturing and materials 30% per pair of shoes by 2030 from a 2016 base yea","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Allianz Investment Management SE",DE0008404005,,,,Germany,Europe,"Banks, Diverse Financials, Insurance",Committed,"2018-05-01 00:00:00",,,
"Allied Sustainability and Environmental Consultants Group Limited",,"Well-below 2°C",1,1,"Hong Kong",Asia,"Professional Services","Targets Set","2021-02-01 00:00:00",,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Allied Sustainability and Environmental Consultants Group Limited commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Alltech, Inc.",,,,,"United States of America (USA)","North America","Food Production - Agricultural Production",Committed,"2019-07-01 00:00:00",,,
"Alma Media",FI0009013114,2°C,,,Finland,Europe,Media,"Targets Set","2018-10-01 00:00:00",,"Alma Media commits to reduce absolute Scope 1 and Scope 2 GHG emissions 21 % by 2025 from a 2016 base-year. Alma Media also commits to reduce Scope 3 emissions 10% by 2023 from a 2016 base-year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
Alstom,FR0010220475,1.5°C,,,France,Europe,"Ground Transportation - Railroads Transportation","Targets Set","2021-01-07 00:00:00",,"Alstom commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2025 from a 2019 base year. Alstom commits to reduce scope 3 GHG emissions from the use of sold products from rolling stock 35% per passenger-km and 35% per ton-km by 2030 from a 2019 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"alstria office REIT-AG",DE000A0LD2U1,"1.5°C/Well-below 2°C",,,Germany,Europe,"Real Estate","Targets Set","2020-07-01 00:00:00",,"Germany-based real estate company alstria office REIT-AG commits to reduce absolute scope 1 and 3 GHG emissions 30% by 2030 from a 2018 base year. Alstria office REIT-AG also commits to continue annually sourcing 100% renewable electricity through 2030.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C/Well-below 2°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Altri SGPS S.A.",PTALT0AE0002,,,,Portugal,Europe,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Committed,"2020-01-01 00:00:00",,,
"Altria Group, Inc.",US02209S1033,1.5°C,,,"United States of America (USA)","North America",Tobacco,"Targets Set","2020-07-01 00:00:00",,"Altria commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year. Altria also commits to reduce absolute scope 3 GHG emissions 18% by 2030 from a 2017 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Amalgamated Bank",US0226631085,,,,"United States of America (USA)","North America","Banks, Diverse Financials, Insurance",Committed,"2020-01-01 00:00:00",,,
Amazon,,,,,"United States of America (USA)","North America",Retailing,Committed,"2020-06-01 00:00:00",,,
"Ambev S.A.",BRABEVACNOR1,,,1,Brazil,"Latin America","Food and Beverage Processing",Committed,"2019-11-01 00:00:00",,,
"Ambuja Cement Ltd",INE079A01024,,,,India,Asia,"Construction Materials",Committed,"2018-08-01 00:00:00",,,
"Amdocs Ltd.",GB0022569080,1.5°C,,,"United States of America (USA)","North America","Software and Services","Targets Set","2020-10-01 00:00:00",,"Amdocs Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 21% by FY2024 from a FY2019 base year. Amdocs Ltd. Also commits to reduce absolute scope 3 GHG emissions 13% over the same period.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"America Movil, S.A.B. de C.V.",MXP001691213,1.5°C,,1,Mexico,"Latin America","Telecommunication Services","Targets Set","2020-08-01 00:00:00",,"America Movil, S.A.B. de C.V. commits to reduce absolute scope 1 and 2 GHG emissions 52% by 2030 from a 2019 base year. AmÃ©rica MÃ³vil also commits to reduce absolute scope 3 GHG emissions 14% by 2030 from a 2019 base year","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"American Eagle Outfitters, Inc.",US02553E1064,1.5°C,,,"United States of America (USA)","North America","Textiles, Apparel, Footwear and Luxury Goods","Targets Set","2020-07-01 00:00:00",,"American Eagle Outfitters commits to reduce absolute scope 1 and scope 2 GHG emissions 80% by 2030 from a 2018 base year. American Eagle Outfitters also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and capital goods 40% by 2030 and 60% by 2040, from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"AMF FASTIGHETER AB",,1.5°C,,,Sweden,Europe,"Real Estate","Targets Set","2021-08-01 00:00:00",,"AMF Fastigheter commits to reduce absolute scope 1 and 2 GHG emissions 100% by 2030 from a 2020 base year. AMF Fastigheter also commits to reduce scope 3 GHG emissions 67% per square meter within the same timeframe.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"An Post",,,,1,Ireland,Europe,"Air Freight Transportation and Logistics",Committed,"2019-12-01 00:00:00",,,
"ANA Holdings Inc.",,,,,Japan,Asia,"Air Transportation - Airlines",Committed,"2020-05-01 00:00:00",,,
"Anritsu Corporation",,2°C,,,Japan,Asia,"Technology Hardware and Equipment","Targets Set","2019-12-01 00:00:00",,"Japanese multinational corporation in the telecommunications electronics equipment market Anritsu commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2015 base year. Anritsu also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and the use of sold product emissions 30% by 2030 from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Anthem, Inc.",US0367521038,,,,"United States of America (USA)","North America","Healthcare Providers and Services, and Healthcare Technology",Committed,"2018-03-01 00:00:00",,,
Apotea,,1.5°C,,,Sweden,Europe,"Food and Staples Retailing","Targets Set","2021-06-01 00:00:00",,"Apotea commitsto reduce absolute scope 1 and 2 GHG emissions 25.2% and scope 3 GHG emissions from employee commuting and upstream transportation and distribution 15% by 2025 from a 2019 base year. Apotea commits to reduce scope 3 GHG emissions from purchased goods and services and use of sold products 35.3% per SEK value added by 2025 from a 2019 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Applied Materials",,,,1,"United States of America (USA)","North America","Semiconductors and Semiconductors Equipment",Committed,"2020-07-01 00:00:00",,,
"AptarGroup Inc.",US0383361039,"Well-below 2°C",,,"United States of America (USA)","North America","Containers and Packaging","Targets Set","2020-08-01 00:00:00",,"Aptargroup Inc commits to reduce absolute scope 1 and 2 GHG emissions 28% by 2030 from a 2019 base year. Aptargroup Inc commits to increase annual sourcing of renewable electricity from 57% in 2019 to 100% by 2030. Aptargroup Inc also commits to reduce absolute scope 3 GHG emissions 14% by 2030 from a 2019 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Aqua America",US03836W1036,,,,"United States of America (USA)","North America","Water Utilities",Committed,"2019-07-01 00:00:00",,,
"Arab Printing Press",,,,1,Lebanon,Asia,"Trading Companies and Distributors, and Commercial Services and Supplies",Committed,"2019-07-01 00:00:00",,,
"Arabesque S-Ray Gmbh",,"Well-below 2°C",1,,Germany,Europe,"Professional Services","Targets Set","2021-02-01 00:00:00",,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes Arabesque S-Ray GmbH, UK Branch commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
Arauco,,,,1,Chile,"Latin America","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Committed,"2020-06-01 00:00:00",,,
"ARC Alternative and Renewable Construction LLC",,1.5°C,1,,"United States of America (USA)","North America","Construction and Engineering","Targets Set","2021-02-01 00:00:00",,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ ARC Alternative and Renewable Construction LLC commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Arc'teryx Equipment Inc.",,1.5°C,,1,Canada,"North America","Textiles, Apparel, Footwear and Luxury Goods","Targets Set","2020-04-01 00:00:00",,"Arc'teryx commits to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2018 base year. Arc'teryx commits to reduce scope 3 GHG emissions 65% per unit of value added by 2030 from a 2018 base year","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Ardagh Group S.A.",,,,1,Luxembourg,Europe,"Containers and Packaging",Committed,"2020-09-01 00:00:00",,,
Arkema,,,,,France,Europe,Chemicals,Committed,"2020-07-01 00:00:00",,,
"Arkhangelsk Pulp and Paper Mill",RU0005418796,,,,Russia,Europe,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Committed,"2019-08-01 00:00:00",,,
"Arla Foods",,2°C,,,Denmark,Europe,"Food and Beverage Processing","Targets Set","2019-09-01 00:00:00",,"Scandinavian multinational cooperative Arla Foods commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2015 base year. Arla Foods commits to reduce scope 3 GHG emissions 30% per kg raw milk by 2030 from a 2015 base year.*The target boundary includes biogenic emissions and removals from bioenergy feedstocks","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Arm Holdings",GB0000595859,,,,"United Kingdom (UK)",Europe,"Semiconductors and Semiconductors Equipment",Committed,"2018-04-01 00:00:00",,,
"Armada Supply Chain Solutions, LLC",,"Well-below 2°C",,,"United States of America (USA)","North America","Ground Transportation - Trucking Transportation","Targets Set","2020-04-01 00:00:00",,"Logistics service provider Armada commits to reduce scope 1, 2, and 3 GHG emissions 40% per short ton of goods outbound by 2030 from a 2015 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Armstrong Engineering Limited",,,,,Kenya,Africa,"Construction and Engineering",Committed,"2019-07-01 00:00:00",,,
"Artistic Milliners",,,,1,Pakistan,Asia,"Textiles, Apparel, Footwear and Luxury Goods",Committed,"2019-10-01 00:00:00",,,
"Arup Group Ltd.",,1.5°C,,1,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2020-08-01 00:00:00",,"Arup Group Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025 from a 2018 base year. Arup also commits to reduce absolute scope 3 GHG emissions 30% by 2025 from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Asahi Group Company Limited",,,,,China,Asia,"Electrical Equipment and Machinery",Committed,"2020-02-01 00:00:00",,,
"Asahi Group Holdings",JP3116000005,1.5°C,,1,Japan,Asia,"Food and Beverage Processing","Targets Set","2018-09-01 00:00:00",,"Asahi Group Holdings Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 and 100% by 2050 from a 2019 base year. Asahi Group Holdings Ltd. also commits to reduce absolute scope 3 GHG emissions 30% by 2030 and 100% by 2050 from a 2015 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"ASE Technology Holding, Co., Ltd.",,"Well-below 2°C",,,"Taiwan, Province of China",Asia,"Semiconductors and Semiconductors Equipment","Targets Set","2021-09-01 00:00:00",,"ASE Technology Holding Co. Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2030 from a 2016 base year and commits to reduce absolute scope 3 GHG emissions 15% by 2030 from a 2020 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Asia Cement Corporation",,"Well-below 2°C",,,"Taiwan, Province of China",Asia,"Construction Materials","Targets Set","2021-04-01 00:00:00",,"Asia Cement Corporation commits to reduce scope 1 and 2 GHG emissions 8% per ton of cementitious materials by 2025 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Asia Pacific Resources International Holdings Ltd",,,,,Singapore,Asia,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Committed,"2020-09-01 00:00:00",,,
"ASICS Corporation",JP3118000003,1.5°C,,1,Japan,Asia,"Textiles, Apparel, Footwear and Luxury Goods","Targets Set","2018-08-01 00:00:00",,"ASICS Corporation commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2030 from a 2015 base year. ASICS Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end-of-life treatment of sold products 63% over the same timeframe.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"ASKUL Corporation",JP3119920001,1.5°C,,1,Japan,Asia,Retailing,"Targets Set","2018-08-01 00:00:00",,"ASKUL Corporation commits to reduce its absolute scope 1 and 2 GHG emissions to zero by 2030. ASKUL Corporation also commits to reduce its absolute scope 3 emissions 12% by 2030 from a 2015 base year. The scope 3 target covers purchased goods and services and upstream transportation and distribution.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"ASN Bank",,,,,Netherlands,Europe,"Banks, Diverse Financials, Insurance",Committed,"2019-01-01 00:00:00",,,
"Assa Abloy AB",SE0007100581,,,1,Sweden,Europe,"Technology Hardware and Equipment",Committed,"2020-10-08 00:00:00",,,
